,language,bert,fast,onehot,random,n_train,n_test,entropy,entropy_conditional,n_classes
0,english,0.2338,0.3913,0.6437,0.7161,203762,24958,3.6073581600204347,0.260796592910321,16
0,czech,0.0989,0.1141,0.3527,0.566,1173281,173906,3.326123725350093,0.055052264331376874,16
0,basque,0.3555,0.2934,0.7993,0.8305,72869,24335,3.1700413877454046,0.1288596111158504,15
0,finnish,0.2539,0.1904,0.795,0.8741,162584,21078,3.1664352859431295,0.06261131395659834,14
0,turkish,0.36,0.2329,0.8777,0.8051,37769,10023,3.028157277203257,0.07508512935986282,13
0,tamil,0.5823,0.4719,1.5711,1.4066,6329,1988,3.145316908210849,0.08827236918321327,13
0,korean,0.3267,0.5956,1.1474,1.332,295899,28234,3.040296567081133,0.13589649419344935,16
0,marathi,0.7586,0.8987,1.4942,1.4285,2997,412,3.171473272906689,0.48336446299030844,15
0,urdu,0.3199,0.4107,0.544,0.5864,108674,14806,3.227159908684161,0.2930078522363394,15
0,telugu,0.422,0.4189,0.9301,0.8648,5082,721,2.7297544041643165,0.06530017761084068,14
0,indonesian,0.3803,0.3548,0.6387,0.6775,97495,11779,3.236153291185793,0.15767456248370748,15
